L_mm,df_frac,df_kHz,f_actual_kHz,spacing_error_um,contrast_mid_dB,p_sq_mid
20.0000,0.017275,12.9559,762.9559,-16.9812,18.4731,2.35547740
20.0000,0.017355,13.0160,763.0160,-17.0587,18.4731,2.34845065
20.0000,0.017435,13.0762,763.0762,-17.1361,18.4731,2.34140543
20.0000,0.017515,13.1363,763.1363,-17.2135,18.4731,2.33434192
20.0000,0.017595,13.1964,763.1964,-17.2910,18.4731,2.32726031
20.0000,0.017675,13.2565,763.2565,-17.3684,18.4731,2.32016076
20.0000,0.017756,13.3166,763.3166,-17.4458,18.4730,2.31304346
20.0000,0.017836,13.3768,763.3768,-17.5231,18.4730,2.30590859
20.0000,0.017916,13.4369,763.4369,-17.6005,18.4730,2.29875634
20.0000,0.017996,13.4970,763.4970,-17.6779,18.4730,2.29158688
20.0000,0.018076,13.5571,763.5571,-17.7552,18.4730,2.28440039
20.0000,0.018156,13.6172,763.6172,-17.8325,18.4730,2.27719706
20.0000,0.018236,13.6774,763.6774,-17.9099,18.4730,2.26997707
20.0000,0.018317,13.7375,763.7375,-17.9872,18.4730,2.26274060
20.0000,0.018397,13.7976,763.7976,-18.0645,18.4730,2.25548784
20.0000,0.018477,13.8577,763.8577,-18.1417,18.4730,2.24821897
20.0000,0.018557,13.9178,763.9178,-18.2190,18.4730,2.24093417
20.0000,0.018637,13.9780,763.9780,-18.2963,18.4730,2.23363364
20.0000,0.018717,14.0381,764.0381,-18.3735,18.4730,2.22631755
20.0000,0.018798,14.0982,764.0982,-18.4508,18.4730,2.21898609
20.0000,0.018878,14.1583,764.1583,-18.5280,18.4730,2.21163945
20.0000,0.018958,14.2184,764.2184,-18.6052,18.4730,2.20427780
20.0000,0.019038,14.2786,764.2786,-18.6824,18.4730,2.19690135
20.0000,0.019118,14.3387,764.3387,-18.7596,18.4730,2.18951028
20.0000,0.019198,14.3988,764.3988,-18.8368,18.4730,2.18210477
20.0000,0.019279,14.4589,764.4589,-18.9139,18.4730,2.17468501
20.0000,0.019359,14.5190,764.5190,-18.9911,18.4730,2.16725120
20.0000,0.019439,14.5792,764.5792,-19.0682,18.4730,2.15980351
20.0000,0.019519,14.6393,764.6393,-19.1453,18.4730,2.15234214
20.0000,0.019599,14.6994,764.6994,-19.2225,18.4730,2.14486728
20.0000,0.019679,14.7595,764.7595,-19.2996,18.4730,2.13737911
20.0000,0.019760,14.8196,764.8196,-19.3766,18.4730,2.12987783
20.0000,0.019840,14.8798,764.8798,-19.4537,18.4730,2.12236363
20.0000,0.019920,14.9399,764.9399,-19.5308,18.4730,2.11483670
20.0000,0.020000,15.0000,765.0000,-19.6078,18.4730,2.10729722
