L_mm,n_organoids,freq_kHz,Q_glass,Q_silicon,contrast_mid_dB_glass,contrast_mid_dB_silicon,F_min_norm_glass,F_min_norm_silicon,F_max_glass,F_max_silicon,T_coupling_741kHz
24.3747,24,738.4691,197.90,285.33,18.4716,22.3262,0.997288,0.995804,1.03767823e-02,7.19114141e-03,0.800819
24.4228,24,737.0149,197.90,285.34,18.4716,22.3262,0.997293,0.995812,1.03359397e-02,7.16283790e-03,0.800819
24.4709,24,735.5663,197.90,285.34,18.4716,22.3262,0.997298,0.995820,1.02953382e-02,7.13470145e-03,0.800819
24.5190,25,764.7119,206.11,297.16,18.4706,22.3247,0.997069,0.995466,1.11279586e-02,7.71170003e-03,0.800819
24.5671,25,763.2148,206.11,297.17,18.4707,22.3247,0.997075,0.995475,1.10844154e-02,7.68152490e-03,0.800819
24.6152,25,761.7235,206.12,297.17,18.4707,22.3248,0.997081,0.995484,1.10411278e-02,7.65152709e-03,0.800819
24.6633,25,760.2381,206.12,297.17,18.4707,22.3248,0.997086,0.995492,1.09980928e-02,7.62170430e-03,0.800819
24.7114,25,758.7584,206.12,297.17,18.4707,22.3248,0.997092,0.995501,1.09553093e-02,7.59205569e-03,0.800819
24.7595,25,757.2845,206.12,297.17,18.4708,22.3249,0.997098,0.995510,1.09127746e-02,7.56257957e-03,0.800819
24.8076,25,755.8163,206.12,297.17,18.4708,22.3249,0.997103,0.995519,1.08704872e-02,7.53327474e-03,0.800819
24.8557,25,754.3538,206.12,297.17,18.4708,22.3250,0.997109,0.995527,1.08284453e-02,7.50414010e-03,0.800819
24.9038,25,752.8969,206.12,297.18,18.4708,22.3250,0.997114,0.995536,1.07866471e-02,7.47517438e-03,0.800819
24.9519,25,751.4457,206.12,297.18,18.4709,22.3250,0.997120,0.995544,1.07450899e-02,7.44637553e-03,0.800819
25.0000,25,750.0000,206.12,297.18,18.4709,22.3251,0.997126,0.995553,1.07037722e-02,7.41774266e-03,0.800819
